run,label_accuracy,groundedness,quote_integrity_pass_rate,avg_latency_ms,evaluation_timestamp
ms1,0.7131,0.966,0.4978,447435.82,2026-04-10T19:46:40.884984Z
ms3,0.6839,0.9197,0.8986,973971.99,2026-05-22T20:19:52+00:00Z
